Ano;Autor;Tipo;Titulo;isbn;qualis
2017;Andre Rehbein Sathler Guimaraes;LIVRO_PUBLICADO;CARNE VS. BITS: PARADIGMAS NA DISPUTA ENTRE HOMENS E MÁQUINAS;9788556961587;LNC
2019;Andre Rehbein Sathler Guimaraes;LIVRO_PUBLICADO;CIDADANIA NA DEMOCRACIA. A CONSTITUIÇÃO VIVA: NA CASA, NA RUA E NA ESCOLA;9788544433690;L5
2019;Ricardo de Joao Braga;LIVRO_PUBLICADO;CIDADANIA NA DEMOCRACIA. A CONSTITUIÇÃO VIVA: NA CASA, NA RUA E NA ESCOLA;9788544433690;L5
2019;Malena Rehbein Rodrigues Sathler;LIVRO_PUBLICADO;CIDADANIA NA DEMOCRACIA. A CONSTITUIÇÃO VIVA: NA CASA, NA RUA E NA ESCOLA;9788544433690;L5
2019;Cristiano Ferri Soares de Faria;Capitulo de livro publicado;COMO HACKEAR UM LEGISLATIVO: O CASO DO LABHACKER DA CÂMARA BRASILEIRA;9788578113520;L2
2019;Cristiane Brum Bernardes;Capitulo de livro publicado;FACES PARTIDÁRIAS NA ESFERA VIRTUAL: A ATUAÇÃO POLÍTICA DAS LIDERANÇAS DA CÂMARA DOS DEPUTADOS NO FACEBOOK;9788540207769;L3
2019;Antonio Teixeira de Barros;Capitulo de livro publicado;FACES PARTIDÁRIAS NA ESFERA VIRTUAL: A ATUAÇÃO POLÍTICA DAS LIDERANÇAS DA CÂMARA DOS DEPUTADOS NO FACEBOOK;9788540207769;L3
2019;Malena Rehbein Rodrigues Sathler;Capitulo de livro publicado;FACES PARTIDÁRIAS NA ESFERA VIRTUAL: A ATUAÇÃO POLÍTICA DAS LIDERANÇAS DA CÂMARA DOS DEPUTADOS NO FACEBOOK;9788540207769;L3
2018;Mauricio Schneider;Capitulo de livro publicado;GREEN OR GREY: ORIGIN, BIAS AND FATE OF ENVIRONMENTAL BILLS IN THE BRAZILIAN NATIONAL CONGRESS;9781138555280;L3
2019;Rildo Jose Cosson Mota;LIVRO_PUBLICADO;LETRAMENTO POLÍTICO: A PERSPECTIVA DO LEGISLATIVO;9788540207295;L3
2019;Giovana Dal Bianco Perlin;Capitulo de livro publicado;SUB-REPRESENTAÇÃO FEMININA NO SISTEMA DE COMISSÕES PARLAMENTARES: UM INDICADOR DA EXCLUSÃO DAS MULHERES DO JOGO POLÍTICO;9788540207769;L1
2018;Andre Rehbein Sathler Guimaraes;Capitulo de livro publicado;THE INSTITUTIONALIZATION OF BRAZILIAN CHAMBER OF DEPUTIES;9781138555280;L2
2018;Ricardo de Joao Braga;Capitulo de livro publicado;THE INSTITUTIONALIZATION OF BRAZILIAN CHAMBER OF DEPUTIES;9781138555280;L2
2018;Roberto Campos da Rocha Miranda;Capitulo de livro publicado;THE INSTITUTIONALIZATION OF BRAZILIAN CHAMBER OF DEPUTIES;9781138555280;L2
2020;Giovana Dal Bianco Perlin;LIVRO_PUBLICADO;VIOLÊNCIA CONTRA A MULHER;9788540207813;LNC
2020;Andre Rehbein Sathler Guimaraes;LIVRO_PUBLICADO;150 TERMOS PARA ENTENDER POLÍTICA;9786587317090;L5
2020;Malena Rehbein Rodrigues Sathler;LIVRO_PUBLICADO;150 TERMOS PARA ENTENDER POLÍTICA;9786587317090;L5